event_id,deployment_id,event_start,event_end,category,classification_label,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species,taxon_variant,scientific_name,common_name,count,sex,life_stage,behavior,event_notes,is_confirmed
1adf8a2b-2214-4ccb-80ce-051f4cd3093e,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-12T16:18:41-07:00,2026-08-12T16:19:15-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
48f72faf-f9c2-4591-9f3e-db8ae658db88,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-12T17:02:50-07:00,2026-08-12T17:03:01-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
c9da8bd9-1723-4d07-af16-7ed5a1c3c168,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-12T17:55:29-07:00,2026-08-12T17:56:03-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
5ebfe9bc-8207-40a0-860f-a22ab94d9462,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-12T18:41:35-07:00,2026-08-12T18:41:46-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
0b54dd63-37cd-40a2-8669-6a86c91731ee,188f1a8d-9ebb-4f84-a33c-06a92c469785,2026-08-12T19:03:16-07:00,2026-08-12T19:03:26-07:00,animal,Bird,,,,,,,Bird,Bird,1,,,,,FALSE
84cc911c-5e20-4902-92e3-bb3f002b5049,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-12T21:05:19-07:00,2026-08-12T21:05:29-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
a4adcfe5-f4a4-4838-990b-07762d2e03c1,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T05:16:17-07:00,2026-08-13T05:16:53-07:00,animal,animal,,,,,,,Animal,Animal,2,,,,,FALSE
85da68f6-f183-4444-ba74-08408da9551a,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-13T06:30:48-07:00,2026-08-13T06:30:59-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
462c9cf9-437e-4aa5-990e-3f58fdbf714b,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T07:00:00-07:00,2026-08-13T07:00:29-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
95bf36aa-ba7d-4294-974e-c027096e04b5,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T07:11:40-07:00,2026-08-13T07:11:51-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
051724a2-572e-4e94-b43a-25378c000472,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T07:36:17-07:00,2026-08-13T07:36:28-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
5cf51178-5153-4354-affe-8e6de09dbaf3,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T07:43:24-07:00,2026-08-13T07:43:35-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
c0ad1f3b-7ce6-428e-a48f-403b3ace7531,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T07:57:01-07:00,2026-08-13T07:57:12-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
